Country code,Product name,Product code 1,Product code 2,Unit
TR,Foundry work services,p27.5,C_METC,tonnes
TR,"Fabricated metal products, except machinery and equipment (28)",p28,C_FABM,tonnes
TR,Machinery and equipment n.e.c. (29),p29,C_MACH,tonnes
TR,Office machinery and computers (30),p30,C_OFMA,tonnes
TR,Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,tonnes
TR,"Radio, television and communication equipment and apparatus (32)",p32,C_RATV,tonnes
TR,"Medical, precision and optical instruments, watches and clocks (33)",p33,C_MEIN,tonnes
TR,"Motor vehicles, trailers and semi-trailers (34)",p34,C_MOTO,Meuro
TR,Other transport equipment (35),p35,C_OTRE,Meuro
TR,Furniture; other manufactured goods n.e.c. (36),p36,C_FURN,tonnes
TR,Secondary raw materials,p37,C_RYMS,Meuro
TR,"Bottles for treatment, Recycling of bottles by direct reuse",p37.w.1,C_BOTW,tonnes
TR,Electricity by coal,p40.11.a,C_POWC,TJ
TR,Electricity by gas,p40.11.b,C_POWG,TJ
TR,Electricity by nuclear,p40.11.c,C_POWN,TJ
TR,Electricity by hydro,p40.11.d,C_POWH,TJ
TR,Electricity by wind,p40.11.e,C_POWW,TJ
TR,Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,TJ
TR,Electricity by biomass and waste,p40.11.g,C_POWB,TJ
